Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources,
Germany,"Swinemunde, Germany",3/12/45,3/12/45,5,23,,14000.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Swinem%C3%BCnde,
Germany,"Hildesheim, Germany",3/3/45,3/31/45,"1,5","1,6",,1550.0,1,1,1,air-firebomb,,,,
Germany,"Ulm, Germany",3/1/45,3/1/45,479,479,,479.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Ulm,
Germany,"Ingolstadt, Germany",3/1/45,3/1/45,197,197,,197.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Mainz, Germany",2/27/45,2/27/45,"1,15","1,25",,1200.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Geschichte_der_Stadt_Mainz#Mainz_im_Zweiten_Weltkrieg,
Germany,"Leipzig, Germany",2/27/45,2/27/45,677,677,,677.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Operation_Haddock,
Germany,"Bremen, Germany",2/24/45,2/24/45,56,56,,56.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Pforzheim, Germany",2/23/45,2/23/45,"17,6","20,277",,18938.5,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Pforzheim_am_23._Februar_1945,
Germany,"Meiningen, Germany",2/23/45,2/23/45,208,208,,208.0,1,1,1,air-firebomb,USAAF,Clarion,http://de.wikipedia.org/wiki/Luftangriff_auf_Meiningen_am_23._Februar_1945,
Germany,"Kitzingen, Germany",2/23/45,2/23/45,650,750,,700.0,1,1,1,air-firebomb,USAAF,Clarion,http://de.wikipedia.org/wiki/Kitzingen,
Germany,"Ulm, Germany",2/22/45,2/22/45,206,206,,206.0,1,1,1,air-firebomb,RAF,,,
Germany,"Hildesheim, Germany",2/22/45,2/22/45,230,270,,250.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Luftangriffe_auf_Hildesheim,
Germany,"Ansbach, Germany",2/22/45,2/23/45,445,445,,445.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
Germany,"Plauen, Germany",2/22/45,2/23/45,387,387,,387.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
Germany,"Crailsheim, Germany",2/22/45,2/23/45,61,61,,61.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
Germany,"Neumarkt, Germany",2/22/45,2/23/45,450,550,,500.0,1,1,1,air-firebomb,,Clarion,http://de.wikipedia.org/wiki/Operation_Clarion,
